"BBS_species","BL_name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size"
"Coccyzus americanus","Coccyzus americanus",1653,"Cuculidae","Cuculiformes","AVIBASE-0CF12F81",12,3,7,2,4,29.2,20,7,8.2,24.5,143.4,62.4,82.6,43,146.3,64,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","-14.02","48.99","36.04","-90.96","5270361.03"
"Coccyzus erythropthalmus","Coccyzus erythropthalmus",1658,"Cuculidae","Cuculiformes","AVIBASE-41E9F54B",5,2,3,0,4,27,17,5.7,6.6,22.9,136.9,55.3,80.3,40.8,143.4,50.9,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","32.020000000000003","55.74","43.59","-90.65","4944717.1399999997"
"Colaptes auratus auratus","Colaptes auratus",3870,"Picidae","Piciformes","AVIBASE-2B7F2525",14,7,7,0,10,38.4,27.6,8.2,7.9,28.4,151.8,37.5,114.3,24.8,105.3,131.46,"Dunning","NA","NO","NA","NA","Shrubland",2,"2","Carnivore","Invertivore","Generalist","19.260000000000002","68.709999999999994","50.48","-99.78","10804791.76"
"Colaptes auratus cafer","Colaptes cafer",3868,"Picidae","Piciformes","AVIBASE-6CC34F06",10,5,5,0,10,42.3,30.6,8.6,7.9,29.7,166.6,40.9,125.7,24.5,116.3,131.46,"DataFromSplit","NA","NO","NA","NA","Shrubland",2,"2","Carnivore","Invertivore","Generalist","15.82","66.150000000000006","48.09","-119.63","6674670.2300000004"
"Colinus virginianus","Colinus virginianus",153,"Odontophoridae","Galliformes","AVIBASE-91CCBC71",4,2,2,0,4,14.9,8.6,7,8.4,29.6,109.8,30.3,79.4,27.6,56.8,171.89,"Dunning","NA","NO","NA","NA","Human Modified",2,"1","Herbivore","Omnivore","Terrestrial","14.51","45.69","34.479999999999997","-91.61","4364464.18"
"Columbina inca","Columbina inca",719,"Columbidae","Columbiformes","AVIBASE-BFE74235",10,4,5,1,4,16.1,7.1,3.5,3.8,15.5,92.5,24.2,69,26,88.7,47.5,"Dunning","NA","NO","NA","NA","Human Modified",3,"1","Herbivore","Granivore","Terrestrial","8.7100000000000009","36.86","26.18","-102.15","2760667.85"
"Contopus cooperi","Contopus cooperi",5888,"Tyrannidae","Passeriformes","AVIBASE-951C150C",8,3,4,1,4,19.9,12.2,8.5,6.5,14.7,104.7,38.5,63.2,37.9,68.8,32.1,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","29.44","68.45","51.88","-110.87","9652028.6500000004"
"Contopus sordidulus","Contopus sordidulus",5893,"Tyrannidae","Passeriformes","AVIBASE-F6CA75F0",14,5,5,4,4,16.4,9.2,6.4,4.1,13.8,82.6,29,57.7,33.5,60.2,13.1,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","7.31","67.81","45.91","-116.12","6939803.4400000004"
"Contopus virens","Contopus virens",5894,"Tyrannidae","Passeriformes","AVIBASE-9891BF73",19,3,7,9,4,14.3,10,6.3,4,14.2,81,25.6,57,31,62.7,13.9,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","27.9","50.6","40.17","-86.94","4080253.15"
"Corvus brachyrhynchos","Corvus brachyrhynchos",6985,"Corvidae","Passeriformes","AVIBASE-9E9F2476",13,4,9,0,4,51.1,35.4,14.7,17.7,59.3,309.6,109.1,199.9,35.3,177.3,448.76,"Dunning","NA","NO","NA","NA","Human Modified",2,"2","Omnivore","Omnivore","Terrestrial","24.53","63.75","46.23","-97.42","11573830.539999999"
"Corvus corax","Corvus corax",6979,"Corvidae","Passeriformes","AVIBASE-B9B272F4",46,15,31,0,10,77,49.2,21.9,27.9,67.1,419.7,167.2,252.7,39.8,228.7,927.97,"Dunning","NA","NO","NA","NA","Forest",3,"2","Omnivore","Omnivore","Terrestrial","12.76","83.11","54.65","18.59","52288449.5"
"Corvus cryptoleucus","Corvus cryptoleucus",6980,"Corvidae","Passeriformes","AVIBASE-F3B84E07",10,3,7,0,4,55.8,34.3,17.2,20.1,59.5,351.1,146.7,204.4,41.7,181.5,533.54,"Dunning","NA","NO","NA","NA","Grassland",3,"1","Carnivore","Omnivore","Terrestrial","20.83","38.76","29.63","-103.06","1195845.67"
"Corvus ossifragus","Corvus ossifragus",6971,"Corvidae","Passeriformes","AVIBASE-43E56D2C",13,4,9,0,4,43.3,27.2,13.8,14.8,47.1,276.7,100.6,176.2,36.3,157.1,284.6,"Dunning","NA","NO","NA","NA","Coastal",3,"1","Omnivore","Omnivore","Terrestrial","24.53","44.92","33.75","-84.16","970986.53"
"Cyanocitta cristata","Cyanocitta cristata",7025,"Corvidae","Passeriformes","AVIBASE-1DA430B8",11,2,9,0,4,29.9,18.6,10.1,8.9,34.7,130,22.9,108.3,17.4,121.4,88,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Omnivore","Omnivore","Terrestrial","24.53","56.76","43.18","-90.29","6665383.1600000001"
"Cyanocitta stelleri","Cyanocitta stelleri",7026,"Corvidae","Passeriformes","AVIBASE-2225D685",10,2,8,0,4,33.7,21.1,10.2,9.5,43,145.8,20,125.8,13.6,133.2,128,"Dunning","NA","NO","NA","NA","Forest",1,"1","Omnivore","Omnivore","Insessorial","12.8","61.65","41.95","-116.24","3560822.24"
"Dolichonyx oryzivorus","Dolichonyx oryzivorus",10449,"Icteridae","Passeriformes","AVIBASE-F845062F",5,2,3,0,4,16.2,9.8,5.9,7.6,26.5,90.2,32,58.5,35.4,61.8,31.46,"Dunning","NA","NO","NA","NA","Grassland",1,"3","Omnivore","Granivore","Generalist","32.380000000000003","54.24","45.77","-93.09","3883605.76"
"Dryobates pubescens","Dryobates pubescens",3972,"Picidae","Piciformes","AVIBASE-1B2A6386",11,5,6,0,5,17.4,12.2,4.9,4.8,15.8,91.3,24.3,65.9,27,58.6,25.55,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Insessorial","24.53","68.3","48.23","-104.67","12800223.82"
"Dryobates scalaris","Dryobates scalaris",3973,"Picidae","Piciformes","AVIBASE-2CE418F2",4,2,2,0,3,19,13.8,6.9,6.3,17.8,96.8,23.8,73,24.6,58.2,31.59,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Insessorial","12.26","39.33","27.02","-103.2","2902465.04"
"Dryobates villosus","Leuconotopicus villosus",3975,"Picidae","Piciformes","AVIBASE-9D06AF89",11,5,5,1,4,31.6,24.1,8.2,8.1,23.1,126.7,32.4,95.5,25.3,81.7,62.65,"Dunning","NA","NO","NA","NA","Forest",1,"1","Carnivore","Invertivore","Insessorial","8.48","68.73","47.81","-105.59","13332874.439999999"
"Dryocopus pileatus","Hylatomus pileatus",3900,"Picidae","Piciformes","AVIBASE-00635FF9",7,3,4,0,3,52.1,37.4,14.6,11.9,29.3,228.4,56.4,166.6,25.3,167.3,286.59,"Dunning","NA","NO","NA","NA","Forest",1,"1","Carnivore","Invertivore","Insessorial","24.53","58.16","45.18","-93.77","5925872.3200000003"
"Dumetella carolinensis","Dumetella carolinensis",8816,"Mimidae","Passeriformes","AVIBASE-95B77F08",16,5,5,6,7,19.2,11.1,4,4.8,27.4,90.7,16.8,73.4,18.6,90.3,35.3,"Dunning","NA","NO","NA","NA","Shrubland",1,"3","Omnivore","Invertivore","Insessorial","28.33","55.06","42.61","-95.25","6824562.1200000001"
"Egretta thula","Egretta thula",2257,"Ardeidae","Pelecaniformes","AVIBASE-AA7901D8",8,1,6,1,4,86.3,69.2,9.4,12,93.3,252.8,79.8,167.3,31.9,110.3,371,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Carnivore","Aquatic predator","Terrestrial","-43.4","45.35","3.56","-70.78","19270773.23"
"Empidonax alnorum","Empidonax alnorum",5880,"Tyrannidae","Passeriformes","AVIBASE-33808812",34,7,3,24,3,15.2,8.5,5.8,4,17.3,68.4,12.4,52.2,19.2,56.1,12.7,"Dunning","NA","NO","NA","NA","Shrubland",1,"3","Carnivore","Invertivore","Insessorial","34.11","68.27","54.6","-104.41","7110677.0199999996"
"Empidonax difficilis","Empidonax difficilis",5876,"Tyrannidae","Passeriformes","AVIBASE-44A20283",5,2,3,0,4,14.4,8.2,5.2,3.3,16,65,14.1,50.5,21.8,58.2,10.7,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","22.93","60.17","49.1","-123.85","864986.35"
"Empidonax hammondii","Empidonax hammondii",5885,"Tyrannidae","Passeriformes","AVIBASE-1EB2595E",4,2,2,0,4,12.3,7.1,4.1,3,14.6,66.6,15.4,51.2,23.1,53.8,10.44,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","35.89","67.7","51.42","-125.11","2762701.72"
"Empidonax minimus","Empidonax minimus",5884,"Tyrannidae","Passeriformes","AVIBASE-F5837054",18,2,3,13,4,12.4,7.6,5.4,3.5,15.9,61.1,14.2,47.9,22.8,50.8,10,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","39.58","65.34","51.73","-102.26","5753545.2400000002"
"Empidonax oberholseri","Empidonax oberholseri",5886,"Tyrannidae","Passeriformes","AVIBASE-499FFF98",4,2,2,0,4,13.5,7.8,4.6,3.2,17.5,66.6,12.5,54.1,18.7,60.6,10.4,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","30.8","60.8","44.18","-116.17","2680790.46"
"Empidonax occidentalis","Empidonax occidentalis",5877,"Tyrannidae","Passeriformes","AVIBASE-6FD04659",10,2,6,2,4,16.2,8.3,5.4,3.7,16.3,66.7,13.3,51.2,20.6,64,11.6,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","15.97","57.1","38.020000000000003","-110.22","2350983.86"
"Empidonax traillii","Empidonax traillii",5879,"Tyrannidae","Passeriformes","AVIBASE-5BC4E0EF",15,2,2,11,4,13.1,8.5,5.9,4.3,18.4,66.5,16.2,52.6,23.5,59.1,13.39,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Carnivore","Invertivore","Insessorial","29.5","56","42.25","-103.28","7301691.6100000003"
"Empidonax virescens","Empidonax virescens",5873,"Tyrannidae","Passeriformes","AVIBASE-2778A3F4",48,5,8,35,5,13.3,9.1,6.1,4,17.1,71,19.9,52.1,27.5,58.8,12.6,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","26.59","45.34","36.729999999999997","-87.99","3006134.68"
"Empidonax wrightii","Empidonax wrightii",5883,"Tyrannidae","Passeriformes","AVIBASE-DACF7A98",4,1,3,0,4,14.8,8.6,4.5,3.6,18,72,15.3,56.7,21.3,60.6,12.3,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Carnivore","Invertivore","Insessorial","32.08","50.39","39.58","-113.24","1149378.23"
"Eremophila alpestris","Eremophila alpestris",7331,"Alaudidae","Passeriformes","AVIBASE-FC0A1D95",14,6,8,0,4,13.9,9.2,4.2,5,23.5,108.1,41.7,66.2,38.6,71.4,33.33,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Omnivore","Omnivore","Terrestrial","4.0599999999999996","77.73","53.86","4.6100000000000003","35118904.890000001"
"Euphagus cyanocephalus","Euphagus cyanocephalus",10534,"Icteridae","Passeriformes","AVIBASE-EA5E858A",5,2,3,0,4,22.6,14.4,5.8,7.5,31,126.4,39.1,86.2,31.2,100.6,62.48,"Dunning","NA","NO","NA","NA","Human Modified",3,"2","Carnivore","Omnivore","Terrestrial","30.05","62.06","46.92","-110.63","5280448.2699999996"
"Falco mexicanus","Falco mexicanus",4073,"Falconidae","Falconiformes","AVIBASE-BBFF0963",5,2,3,0,4,31.1,20,13.8,16.5,55.6,325,166,163.2,50.5,188.4,713.07,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Vertivore","Aerial","23.33","53.54","40.14","-111.4","3975634.14"
"Falco sparverius","Falco sparverius",4045,"Falconidae","Falconiformes","AVIBASE-20C2214E",7,1,5,1,4,17.1,11,8.4,10.1,33.7,182.4,77.9,100.1,43.7,126.5,114.61,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Omnivore","Insessorial","-54.28","68.66","22.05","-87.91","26638648.91"
"Fulica americana","Fulica americana",1887,"Rallidae","Gruiformes","AVIBASE-4FB248BA",11,4,4,3,10,37.3,14.8,5.9,10.7,54.8,183.1,65.8,115.7,36.3,50.6,636.74,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Herbivore","Herbivore aquatic","Aquatic","4.7699999999999996","62.69","42.59","-104.08","10934633.24"
"Gallinago delicata","Gallinago delicata",2517,"Scolopacidae","Charadriiformes","AVIBASE-F5C8516D",5,2,3,0,4,66.9,57.7,4.6,6.6,29.4,128.4,59.5,68.5,46.5,55,112.94,"DataFromSplit","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Terrestrial","36.270000000000003","71.39","54.89","-111.33","11985774.529999999"
"Gallinula galeata","Gallinula galeata",1876,"Rallidae","Gruiformes","AVIBASE-3EF081A8",7,4,3,0,4,31.4,15.8,5.4,9.8,51.1,176.1,57.9,120.5,32.4,74.9,339.63,"DataFromSplit","NA","NO","NA","NA","Wetland",3,"1","Omnivore","Omnivore","Terrestrial","-37.119999999999997","48.06","5.81","-71.22","13770097.15"
"Gavia immer","Gavia immer",1969,"Gaviidae","Gaviiformes","AVIBASE-7E022378",5,2,3,0,4,97,60.1,10.5,23,86.1,365.2,178,183.2,49.3,59,4956.81,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Aquatic","41.9","80.83","58.02","-101.26","9453280.1199999992"
"Geococcyx californianus","Geococcyx californianus",1580,"Cuculidae","Cuculiformes","AVIBASE-DB5DABCF",5,3,2,0,4,57.8,35.4,10.1,12.5,59.5,181,12,172,6.5,287.4,376,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Terrestrial","18.36","40.65","30.77","-104.36","3008009.53"
"Geothlypis formosa","Geothlypis formosa",10588,"Parulidae","Passeriformes","AVIBASE-8C105C3C",19,4,13,2,4,13.8,8.7,3.5,3.7,22.8,66.9,16.6,50,24.9,48.1,14,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Generalist","29.58","44.47","36.24","-86.53","1970256.38"
"Geothlypis philadelphia","Geothlypis philadelphia",10587,"Parulidae","Passeriformes","AVIBASE-1A0096F2",71,29,28,14,7,12.5,8,3.3,3.6,22.1,59,15.1,44.7,25.3,47.8,11.74,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","37.6","59.93","49.89","-89.66","2709565.27"
"Geothlypis tolmiei","Geothlypis tolmiei",10586,"Parulidae","Passeriformes","AVIBASE-85106518",11,5,6,0,10,13.4,7.7,3,3.3,20.9,58.1,13.2,44.5,22.9,52.9,10.4,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Generalist","24.17","60.52","47.17","-118.73","2622229.48"
"Geothlypis trichas","Geothlypis trichas",10595,"Parulidae","Passeriformes","AVIBASE-BA4C8A02",23,7,16,0,5,12.7,7.9,3,3.3,20.2,54.7,8.5,44.3,16.1,49.4,9.54,"Dunning","NA","NO","NA","NA","Wetland",1,"3","Carnivore","Invertivore","Insessorial","18.489999999999998","65.84","44.7","-101.34","12826786.25"
"Gymnorhinus cyanocephalus","Gymnorhinus cyanocephalus",7019,"Corvidae","Passeriformes","AVIBASE-A6905B3C",9,2,7,0,4,37.9,23.8,8.3,8.8,37.7,147.8,39.2,107.8,26.6,106.2,104.82,"Dunning","NA","NO","NA","NA","Forest",2,"2","Omnivore","Omnivore","Generalist","30.16","46.72","39.049999999999997","-111.57","1284048.8899999999"
"Haemorhous cassinii","Haemorhous cassinii",10153,"Fringillidae","Passeriformes","AVIBASE-AC1E519F",5,2,3,0,4,14,10.3,7.4,8.9,17.5,90.2,25.6,63.5,28.8,61.5,26.5,"Dunning","NA","NO","NA","NA","Forest",2,"1","Herbivore","Granivore","Insessorial","30.32","53.51","43.11","-114.16","1502229.58"
"Haemorhous mexicanus","Haemorhous mexicanus",10152,"Fringillidae","Passeriformes","AVIBASE-89431E9F",5,2,3,0,4,10.6,8.4,6.6,8.2,17.4,77.2,21.2,55.8,27.5,66.2,21.4,"Dunning","NA","NO","NA","NA","Shrubland",2,"2","Herbivore","Granivore","Insessorial","16.79","55.29","38.880000000000003","-100.57","10299459.91"
"Haemorhous purpureus","Haemorhous purpureus",10154,"Fringillidae","Passeriformes","AVIBASE-B4EE123D",8,3,5,0,4,12.2,9.1,7.5,9,16.6,81.1,22.8,58.2,28.1,59.5,23.3,"Dunning","NA","NO","NA","NA","Forest",2,"2","Herbivore","Omnivore","Insessorial","32.56","62.24","50.66","-99.96","4534365.72"
"Haliaeetus leucocephalus","Haliaeetus leucocephalus",3142,"Accipitridae","Accipitriformes","AVIBASE-FED3756C",4,2,2,0,4,76,48.2,24,34.1,81.7,601.8,248.8,353,41.4,294,4700.58,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Omnivore","Generalist","24.3","69.430000000000007","54.57","-113.86","9351853.9600000009"
"Helmitheros vermivorum","Helmitheros vermivorum",10563,"Parulidae","Passeriformes","AVIBASE-295C4CD6",10,5,4,1,4,15.3,10.2,3.7,4.5,17.7,68.3,18,50.6,26.2,48.4,14.16,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","30.13","43.17","36.369999999999997","-85.71","1754178.4"
"Himantopus mexicanus","Himantopus himantopus",2357,"Recurvirostridae","Charadriiformes","AVIBASE-6AC2ABA3",21,8,12,1,16,65.7,49.1,4.5,4.7,110.8,223.8,117.2,107.1,52.2,74,176.82,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Carnivore","Aquatic predator","Terrestrial","-47.29","59.43","16.52","38.950000000000003","56867877.549999997"
"Hylocichla mustelina","Hylocichla mustelina",8896,"Turdidae","Passeriformes","AVIBASE-8E1D9327",17,6,4,7,4,19,11.9,5.1,5.4,32.1,106.5,29,78.9,26.9,71.3,50.09,"Dunning","NA","NO","NA","NA","Forest",1,"3","Omnivore","Invertivore","Generalist","29.12","49.09","40.049999999999997","-83.73","3494414.7"
"Icteria virens","Icteria virens",10447,"Icteridae","Passeriformes","AVIBASE-734C73A9",13,7,5,1,5,16.3,10.5,4.8,6.3,26.1,76.5,16.3,60.5,21.3,71.8,24.89,"Dunning","NA","NO","NA","NA","Forest",2,"1","Carnivore","Invertivore","Insessorial","20.9","53.94","38.56","-103.26","6188045.96"
"Icterus bullockii","Icterus bullockiorum",10493,"Icteridae","Passeriformes","AVIBASE-7E65A952",14,7,7,0,13,20.4,13,4.8,6,23.9,97,25.3,71.2,26.3,77.5,37.9,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","24.38","51.92","38.26","-110.62","3649427.51"
"Icterus galbula","Icterus galbula",10491,"Icteridae","Passeriformes","AVIBASE-5110842F",23,10,12,1,10,21.1,13.3,5,6.4,23.4,92.1,25.5,67.4,27.4,73.3,32.83,"Dunning","NA","NO","NA","NA","Forest",1,"3","Omnivore","Invertivore","Insessorial","30.82","58.5","43.69","-91.8","4604558.6399999997"
"Icterus parisorum","Icterus parisorum",10484,"Icteridae","Passeriformes","AVIBASE-9EE6D524",5,2,3,0,4,24,15.8,5.3,6.3,22.7,98.9,24,73.7,24.5,87.2,36.48,"Dunning","NA","NO","NA","NA","Shrubland",3,"2","Carnivore","Invertivore","Insessorial","17.23","41.17","29.85","-106.89","1741688.63"
"Icterus spurius","Icterus spurius",10505,"Icteridae","Passeriformes","AVIBASE-E2014696",16,7,9,0,4,17.2,11.6,4.4,5.3,21.5,77,20.9,56.6,26.9,67,19.44,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","19","50.57","36.74","-92.53","4790205.22"
"Ictinia mississippiensis","Ictinia mississippiensis",3157,"Accipitridae","Accipitriformes","AVIBASE-ACFC8EB6",4,2,2,0,4,23,14.7,11,12.3,37,291.8,156.5,135.2,53.6,150.2,276.03,"Dunning","NA","NO","NA","NA","Woodland",2,"3","Carnivore","Invertivore","Generalist","28.86","42.56","33.57","-92.91","824795.96"
"Junco hyemalis caniceps","Junco hyemalis",10412,"Passerellidae","Passeriformes","AVIBASE-05FF3C9B",8,3,5,0,4,11.6,7.8,4.5,5.3,21.1,75.2,16.4,58.6,21.9,63.8,19.5,"Dunning","NA","NO","NA","NA","Forest",2,"3","Herbivore","Granivore","Generalist","30.59","70.27","53.3","-109.7","10167654.77"
"Junco hyemalis hyemalis","Junco hyemalis",10412,"Passerellidae","Passeriformes","AVIBASE-05FF3C9B",8,3,5,0,4,11.6,7.8,4.5,5.3,21.1,75.2,16.4,58.6,21.9,63.8,19.5,"Dunning","NA","NO","NA","NA","Forest",2,"3","Herbivore","Granivore","Generalist","30.59","70.27","53.3","-109.7","10167654.77"
"Junco hyemalis oreganus","Junco hyemalis",10412,"Passerellidae","Passeriformes","AVIBASE-05FF3C9B",8,3,5,0,4,11.6,7.8,4.5,5.3,21.1,75.2,16.4,58.6,21.9,63.8,19.5,"Dunning","NA","NO","NA","NA","Forest",2,"3","Herbivore","Granivore","Generalist","30.59","70.27","53.3","-109.7","10167654.77"
"Lanius ludovicianus","Lanius ludovicianus",6902,"Laniidae","Passeriformes","AVIBASE-36171C2B",11,2,9,0,4,21.1,12.3,6.5,8.8,27.7,96.4,21.7,74.2,22.6,96.7,51.59,"Dunning","NA","NO","NA","NA","Shrubland",3,"3","Carnivore","Invertivore","Insessorial","16.100000000000001","55.52","38.03","-101.11","8852504.2899999991"
"Larus californicus","Larus californicus",2626,"Laridae","Charadriiformes","AVIBASE-7FCE8A43",4,2,2,0,4,55.7,19.8,7,14.2,57,377,220.2,156.8,58.4,140,683.39,"Dunning","NA","NO","NA","NA","Coastal",3,"2","Omnivore","Omnivore","Terrestrial","37.92","64.010000000000005","52.58","-110","1997786.84"
"Larus delawarensis","Larus delawarensis",2622,"Laridae","Charadriiformes","AVIBASE-23863F65",5,2,2,1,4,48.1,19.6,6.2,13,51.2,366,205.5,160,56.2,133.2,516.31,"Dunning","NA","NO","NA","NA","Coastal",3,"2","Carnivore","Omnivore","Terrestrial","39.94","61.17","50.01","-101.06","5396423.3600000003"
"Leiothlypis celata","Leiothlypis celata",10575,"Parulidae","Passeriformes","AVIBASE-FFF61080",4,1,3,0,4,11.8,7.8,3.8,4,18.4,59.9,13.8,46,23,46.5,9.19,"Dunning","NA","NO","NA","NA","Shrubland",1,"3","Carnivore","Invertivore","Insessorial","30.58","68.989999999999995","54.4","-116.99","7482895.1399999997"
"Leiothlypis ruficapilla","Leiothlypis ruficapilla",10578,"Parulidae","Passeriformes","AVIBASE-183E5F90",5,2,3,0,4,11.6,7,2.8,3.5,16.1,56.8,13.3,43.4,23.6,42.4,8.09,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","36.29","56.58","47.87","-88.86","2772463.48"
"Leiothlypis virginiae","Leiothlypis virginiae",10579,"Parulidae","Passeriformes","AVIBASE-A97F14D0",5,2,3,0,4,11.6,7.7,3,3.3,16.8,61.1,11.4,48.7,18.9,49.2,8.2,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Carnivore","Invertivore","Insessorial","30.37","44.14","38.31","-110.17","281000.09999999998"
"Leucophaeus atricilla","Larus atricilla",2609,"Laridae","Charadriiformes","AVIBASE-6CDC3C9C",5,2,3,0,4,44.1,17.1,5.1,10.2,44.8,298.4,166.5,123.2,57.3,111.8,307.41,"Dunning","NA","NO","NA","NA","Marine",3,"2","Carnivore","Aquatic predator","Aerial","4.51","49.01","28.53","-82.49","1565115.04"
"Leucophaeus pipixcan","Larus pipixcan",2608,"Laridae","Charadriiformes","AVIBASE-57C93A74",5,2,3,0,4,39.8,15,4.6,8.6,39.9,279.4,154.5,123,55.6,95.2,280,"Dunning","NA","NO","NA","NA","Coastal",3,"3","Omnivore","Omnivore","Generalist","39.049999999999997","59.36","52.2","-107.25","1433191.74"
"Limnothlypis swainsonii","Limnothlypis swainsonii",10571,"Parulidae","Passeriformes","AVIBASE-D3624203",5,2,3,0,4,17.8,11.4,3.4,4.3,17.7,71.6,17.9,53.9,25,49.6,18.9,"Dunning","NA","NO","NA","NA","Shrubland",1,"3","Carnivore","Invertivore","Terrestrial","28.57","39.159999999999997","33.39","-87.71","1142671.96"
"Limosa fedoa","Limosa fedoa",2456,"Scolopacidae","Charadriiformes","AVIBASE-249AE8DF",4,2,2,0,4,112.5,93.7,6.8,9.2,71.6,224.8,118,106.7,52.5,77.2,357.02,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Terrestrial","43.19","57.79","49.74","-104.56","1140759.5"
"Lophodytes cucullatus","Lophodytes cucullatus",435,"Anatidae","Anseriformes","AVIBASE-60E6081E",5,2,3,0,4,39.6,27.6,8.3,9.3,29.2,186.6,95,91.5,50.9,85.6,613.77,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Aquatic","29.76","56.35","44.5","-91.96","5510396.5"
"Loxia curvirostra","Loxia curvirostra",10209,"Fringillidae","Passeriformes","AVIBASE-DF660782",17,8,9,0,4,19,16.1,6.8,11.4,16.6,96,36,59.6,37.6,57.3,38.29,"Dunning","NA","NO","NA","NA","Forest",1,"2","Herbivore","Granivore","Insessorial","11.48","69.64","52.38","24.37","22671334.66"
"Mareca americana","Mareca americana",515,"Anatidae","Anseriformes","AVIBASE-D201EB72",5,2,3,0,3,44.9,26.9,16,12.3,34.6,253.2,135.4,116.6,53.7,93.8,754.61,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Herbivore","Omnivore","Terrestrial","35.79","70.64","55.41","-116.72","8979266.4900000002"
