species,centroid_hist_X,centroid_hist_Y,centroid_rec_X,centroid_rec_Y,Eucl_distance,NS_shift,EW_shift,shift_direction,n_routes_hist,n_routes_rec,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,rS_NA,rE_NA,rU_NA,rS_A,rE_A,rU_A,range_stability_std,range_unfilling_std,range_expansion_std
Accipiter cooperii,302462.0808,351270.2194,533371.8608,206680.9085,272443.38,-144589.3109,230909.78,123.6822784,49,140,0.662240774,0.982017982,0.878121878,0.878121878,1,0.985014985,0.998001998,0.998001998,1,0.013986014,0.127872128,0.127872128,0.001998002,0.020979021,0.002997003,0.002997003,0.000999001,0.931545482,0.068454518,0.025114543,0.958268071,0.041731929,0.023892767,0.909714127,0.02343563,0.066850243
Accipiter striatus,359622.4742,626141.1944,1081573.288,388565.2665,760036.3796,-237575.9279,721950.8133,110.2900732,30,24,0.350038553,0.895104895,0.724275724,0.724275724,0.989010989,0.852147852,0.72027972,0.72027972,1,0.126873127,0.308691309,0.308691309,0.013986014,0.140859141,0.260739261,0.260739261,0.000999001,0.947135472,0.052864528,0.378934121,0.952871869,0.047128131,0.288093372,0.600257997,0.3662385,0.033503502
Actitis macularius,-156745.2059,769143.2348,-383140.2555,822543.236,232607.5636,53400.00127,-226395.0496,-77.8281376,76,49,0.731798732,1,0.507492507,0.507492507,1,1,0.516483516,0.516483516,1,0.000999001,0.452547453,0.452547453,0.000999001,0.000999001,0.505494505,0.505494505,0.000999001,0.994084144,0.005915856,0.046105508,0.994084144,0.005915856,0.036760654,0.948510098,0.045845259,0.005644642
Aix sponsa,824642.1019,348332.1474,748185.8256,415030.0739,101460.2168,66697.92649,-76456.27632,-43.47103668,144,196,0.854893324,0.996003996,0.543456543,0.543456543,1,0.996003996,0.577422577,0.577422577,1,0.005994006,0.451548452,0.451548452,0.000999001,0.003996004,0.418581419,0.418581419,0.000999001,0.969723007,0.030276993,0.0001033,0.971712563,0.028287437,0.0001033,0.969625867,0.000100173,0.03027396
Ammodramus savannarum,598838.9252,374485.1136,479070.2651,305547.4624,138191.6484,-68937.65122,-119768.6601,-115.1853489,265,187,0.801640879,0.983016983,0.967032967,0.967032967,1,0.981018981,0.966033966,0.966033966,1,0.018981019,0.031968032,0.031968032,0.002997003,0.014985015,0.021978022,0.021978022,0.000999001,0.983265235,0.016734765,0.00813235,0.983307216,0.016692784,0.007957191,0.975401724,0.007997345,0.016600931
Anas platyrhynchos,350545.169,612816.2653,431987.795,584796.1603,86127.9723,-28020.10498,81442.626,111.3165231,251,259,0.896294687,0.999000999,0.605394605,0.605394605,1,1,0.598401598,0.598401598,1,0.001998002,0.397602398,0.397602398,0.000999001,0.001998002,0.407592408,0.407592408,0.001998002,0.989244491,0.010755509,0.002669833,0.989325592,0.010674408,0.002669833,0.986631704,0.002641193,0.010727102
Antrostomus carolinensis,732863.1868,-262831.9642,733389.56,-308143.8177,45314.91081,-45311.85356,526.3731694,-175.7177446,97,63,0.87240661,1,0.984015984,0.984015984,1,1,0.977022977,0.977022977,1,0.001998002,0.021978022,0.021978022,0.000999001,0.001998002,0.012987013,0.012987013,0.001998002,0.976279075,0.023720925,0.031194159,0.976279075,0.023720925,0.031194159,0.946525256,0.030476756,0.022997988
Antrostomus vociferus,964509.5806,245521.376,1073601.591,136786.539,154027.048,-108734.837,109092.0105,141.1654947,94,37,0.764892551,0.987012987,0.948051948,0.948051948,0.999000999,0.985014985,0.92007992,0.92007992,0.997002997,0.01998002,0.072927073,0.072927073,0.005994006,0.011988012,0.065934066,0.065934066,0.002997003,0.940336345,0.059663655,0.127022249,0.940336345,0.059663655,0.127022249,0.827161443,0.120355767,0.05248279
Aphelocoma californica,-2136499.948,458687.0885,-2138459.356,441185.5737,17610.85741,-17501.51476,-1959.408083,171.0199016,27,26,0.960099923,1,0.957042957,0.957042957,1,1,0.963036963,0.963036963,1,0.000999001,0.033966034,0.033966034,0.000999001,0.000999001,0.048951049,0.048951049,0.000999001,0.99733094,0.00266906,0.001857104,0.99733094,0.00266906,0.001857104,0.995483727,0.001852156,0.002664117
Archilochus alexandri,-1022418.688,-328668.9965,-749538.9291,-278141.9028,277518.198,50527.09378,272879.7593,73.07032307,20,24,0.799248962,1,0.802197802,0.802197802,1,1,0.898101898,0.898101898,1,0.000999001,0.200799201,0.200799201,0.000999001,0.000999001,0.130869131,0.130869131,0.000999001,0.893547111,0.106452889,0.042223962,0.922414546,0.077585454,0.033242781,0.859682166,0.037899452,0.102418383
Archilochus colubris,997990.681,242971.8352,944266.4414,269975.6053,60129.00732,27003.77012,-53724.2396,-56.76133772,193,272,0.851594015,0.999000999,0.96003996,0.96003996,1,0.999000999,0.946053946,0.946053946,1,0.000999001,0.037962038,0.037962038,0.000999001,0.000999001,0.038961039,0.038961039,0.000999001,0.997132913,0.002867087,0.032539961,0.997132913,0.002867087,0.032539961,0.964776256,0.032449693,0.002774051
Ardea herodias,389444.6906,352532.9075,602990.3404,301152.4482,219639.9239,-51380.45934,213545.6498,105.9867216,265,353,0.795125117,0.995004995,0.693306693,0.693306693,1,0.993006993,0.707292707,0.707292707,1,0.004995005,0.286713287,0.286713287,0.000999001,0.012987013,0.284715285,0.284715285,0.000999001,0.998185915,0.001814085,0.012840435,0.998266884,0.001733116,0.012547035,0.985391727,0.01281744,0.001790833
Baeolophus bicolor,971304.0596,127213.5225,1033775.131,193785.337,91293.16087,66571.81457,62471.07112,50.47842822,294,325,0.894217176,0.997002997,0.947052947,0.947052947,1,0.991008991,0.928071928,0.928071928,1,0.008991009,0.06993007,0.06993007,0.001998002,0.003996004,0.060939061,0.060939061,0.000999001,0.978890725,0.021109275,0.002147094,0.978890725,0.021109275,0.002147094,0.976833228,0.002101865,0.021064906
Bartramia longicauda,206689.723,592622.5766,-77956.34301,604613.1152,284898.5011,11990.53868,-284646.066,-85.95528677,86,63,0.771486654,0.993006993,0.917082917,0.917082917,0.961038961,0.994005994,0.938061938,0.938061938,1,0.007992008,0.077922078,0.077922078,0.047952048,0.006993007,0.072927073,0.072927073,0.000999001,0.99474191,0.00525809,0.170018157,0.99474191,0.00525809,0.11053459,0.826356463,0.169275513,0.004368024
Bombycilla cedrorum,890949.197,663685.2564,821417.9724,564648.2447,121007.9372,-99037.01167,-69531.22458,-137.8996657,231,316,0.7630103,0.983016983,0.904095904,0.904095904,1,0.984015984,0.902097902,0.902097902,1,0.014985015,0.101898102,0.101898102,0.002997003,0.015984016,0.085914086,0.085914086,0.001998002,0.923043786,0.076956214,0,0.928175985,0.071824015,0,0.923043786,0,0.076956214
Bonasa umbellus,781554.2494,783893.1734,691975.0997,895962.5185,143471.1197,112069.3451,-89579.14969,-32.77711901,55,36,0.771571948,1,0.789210789,0.789210789,1,1,0.804195804,0.804195804,1,0.003996004,0.215784216,0.215784216,0.003996004,0.001998002,0.234765235,0.234765235,0.000999001,0.975328559,0.024671441,0.0850446,0.975328559,0.024671441,0.083131229,0.894258441,0.083120829,0.02262073
Botaurus lentiginosus,416225.6849,884388.3709,160888.4724,888687.1682,255373.3966,4298.7973,-255337.2124,-85.65812843,57,37,0.842561136,0.994005994,0.865134865,0.865134865,1,0.988011988,1,1,0.996003996,0.00999001,0.107892108,0.107892108,0.001998002,0.011988012,0.000999001,0.000999001,0.000999001,0.973504816,0.026495184,0.024410415,0.984618277,0.015381723,0.024313219,0.95035581,0.023779036,0.025865154
Branta canadensis,476309.1113,654981.1697,653156.7697,446273.1761,273558.2586,-208707.9936,176847.6584,142.8396661,63,331,0.65373628,0.993006993,0.848151848,0.848151848,1,0.99000999,0.879120879,0.879120879,1,0.01998002,0.187812188,0.187812188,0.001998002,0.013986014,0.140859141,0.140859141,0.001998002,0.857934978,0.142065022,0.005446773,0.87487605,0.12512395,0.005446773,0.853922763,0.004676596,0.141400641
Bubo virginianus,185559.038,259999.2852,-31958.3057,271637.0883,217828.4492,11637.80317,-217517.3437,-85.63579691,164,110,0.851177934,0.993006993,0.699300699,0.699300699,1,0.996003996,0.894105894,0.894105894,1,0.011988012,0.292707293,0.292707293,0.002997003,0.008991009,0.121878122,0.121878122,0.000999001,0.990525084,0.009474916,0.003893195,0.995348903,0.004651097,0.003776477,0.986705173,0.00385645,0.009438377
Buteo jamaicensis,253439.6261,322390.1286,375914.8157,316618.0096,122611.1308,-5772.119021,122475.1895,94.39436629,339,416,0.922729358,1,0.943056943,0.943056943,1,1,0.949050949,0.949050949,1,0.000999001,0.047952048,0.047952048,0.000999001,0.000999001,0.043956044,0.043956044,0.000999001,0.998410436,0.001589564,0.002962349,0.998410436,0.001589564,0.002962349,0.995457483,0.002957654,0.001584862
Buteo lineatus,782466.999,-48767.18573,701077.6113,34859.81016,116694.9307,83626.99589,-81389.38763,-39.42497552,100,218,0.816380044,0.994005994,0.737262737,0.737262737,1,0.99000999,0.747252747,0.747252747,1,0.013986014,0.232767233,0.232767233,0.000999001,0.015984016,0.245754246,0.245754246,0.000999001,0.950173423,0.049826577,0,0.950924867,0.049075133,0,0.950173423,0,0.049826577
Buteo platypterus,1125868.611,432739.8901,1111747.266,359563.0541,74526.91931,-73176.83598,-14121.34475,-160.636314,97,108,0.825139036,1,0.964035964,0.964035964,1,0.997002997,0.962037962,0.962037962,1,0.000999001,0.037962038,0.037962038,0.000999001,0.001998002,0.038961039,0.038961039,0.000999001,0.9335842,0.0664158,0.013827025,0.93474618,0.06525382,0.013827025,0.921521772,0.012920557,0.065557671
Buteo swainsoni,-543892.2746,425303.2506,-735958.5203,344368.8723,208422.2069,-80934.37834,-192066.2457,-116.3357712,54,53,0.883204363,0.999000999,0.95004995,0.95004995,0.991008991,0.999000999,0.958041958,0.958041958,0.994005994,0.002997003,0.050949051,0.050949051,0.011988012,0.002997003,0.036963037,0.036963037,0.003996004,0.955461861,0.044538139,0.046345066,0.955461861,0.044538139,0.043958776,0.913065597,0.044372534,0.042561869
Calamospiza melanocorys,-508762.334,684122.8599,-653793.1096,596731.9347,169325.4253,-87390.92515,-145030.7756,-124.5161986,30,23,0.766654489,0.976023976,0.945054945,0.945054945,0.959040959,0.972027972,0.948051948,0.948051948,0.964035964,0.020979021,0.063936064,0.063936064,0.045954046,0.01998002,0.057942058,0.057942058,0.034965035,0.919798406,0.080201594,0.179246558,0.919798406,0.080201594,0.176732144,0.765938735,0.167275427,0.066785839
Callipepla californica,-2075872.072,546223.4426,-2050811.795,597886.0526,57419.88117,51662.61002,25060.27692,11.11988006,31,33,0.908801791,1,0.955044955,0.955044955,1,1,0.949050949,0.949050949,1,0.004995005,0.055944056,0.055944056,0.003996004,0.001998002,0.054945055,0.054945055,0.000999001,0.958917648,0.041082352,0.008983347,0.958917648,0.041082352,0.008983347,0.950654204,0.008617471,0.040728326
Cardellina canadensis,1440934.86,835079.6861,1286290.328,828938.6864,154766.415,-6140.999726,-154644.5322,-81.35807273,48,33,0.812999246,1,1,1,1,1,1,1,1,0.002997003,0.015984016,0.015984016,0.000999001,0.001998002,0.014985015,0.014985015,0.000999001,1,0,0.080995324,1,0,0.080995324,0.919004676,0.080995324,0
Cardinalis cardinalis,867710.8737,192860.2185,873424.5609,230113.3141,37688.71659,37253.09568,5713.68714,15.08489921,387,408,0.934750305,0.997002997,0.909090909,0.909090909,1,0.999000999,0.917082917,0.917082917,1,0.001998002,0.084915085,0.084915085,0.000999001,0.001998002,0.094905095,0.094905095,0.000999001,0.995490552,0.004509448,0,0.995507663,0.004492337,0,0.995490552,0,0.004509448
Cathartes aura,504434.0453,76455.58758,538007.4728,253270.1743,179973.8123,176814.5867,33573.42748,14.51365368,239,419,0.774235656,0.961038961,0.734265734,0.734265734,1,0.969030969,0.76023976,0.76023976,1,0.034965035,0.233766234,0.233766234,0.001998002,0.038961039,0.257742258,0.257742258,0.001998002,0.970902151,0.029097849,0.008530007,0.970902151,0.029097849,0.008530007,0.962859335,0.008283858,0.028856807
Catharus fuscescens,1080643.678,796827.4594,1173660.669,791700.5776,93158.17539,-5126.881851,93016.99159,101.1858392,133,121,0.887013668,1,0.994005994,0.994005994,1,1,0.994005994,0.994005994,1,0.002997003,0.00999001,0.00999001,0.002997003,0.000999001,0.005994006,0.005994006,0.000999001,0.997190611,0.002809389,0.020597078,0.997190611,0.002809389,0.020032249,0.976707915,0.020540402,0.002751684
Catharus guttatus,391079.3456,819099.9599,599027.5102,806163.9289,208350.1381,-12936.03097,207948.1646,96.38005494,94,89,0.857164576,1,0.872127872,0.872127872,1,1,0.863136863,0.863136863,1,0.000999001,0.123876124,0.123876124,0.000999001,0.000999001,0.136863137,0.136863137,0.000999001,0.999087348,0.000912652,0.018036803,0.999087348,0.000912652,0.012910579,0.981083156,0.018020639,0.000896206
Catharus ustulatus,-629542.1247,985250.1742,-726980.1386,1010219.147,100586.3616,24968.97245,-97438.01389,-80.42231649,35,27,0.625917875,0.989010989,0.987012987,0.987012987,1,0.983016983,1,1,1,0.011988012,0.020979021,0.020979021,0.000999001,0.016983017,0.000999001,0.000999001,0.000999001,0.814112307,0.185887693,0,0.897741146,0.102258854,0,0.814112307,0,0.185887693
Centronyx henslowii,940765.7948,563915.6085,482211.7426,391030.9342,490062.169,-172884.6743,-458554.0523,-103.3396531,23,22,0.349255133,0.847152847,0.834165834,0.834165834,0.86013986,0.862137862,0.845154845,0.845154845,0.945054945,0.146853147,0.14985015,0.14985015,0.138861139,0.134865135,0.140859141,0.140859141,0.047952048,0.679849019,0.320150981,0.602386245,0.679849019,0.320150981,0.509855863,0.334905339,0.507382773,0.157711888
Certhia americana,-46677.34889,696657.7733,299075.8411,798242.7469,360367.5558,101584.9736,345753.19,73.17284045,55,74,0.726907865,0.998001998,0.871128871,0.871128871,1,0.999000999,0.904095904,0.904095904,1,0.003996004,0.127872128,0.127872128,0.000999001,0.002997003,0.096903097,0.096903097,0.000999001,0.926652684,0.073347316,0.05028765,0.932418332,0.067581668,0.004370212,0.883311562,0.046771701,0.069916737
Chaetura pelagica,862886.8042,251749.1362,881447.0943,246707.2487,19232.91446,-5041.887467,18560.29012,110.9325032,405,378,0.928439985,1,0.933066933,0.933066933,1,1,0.955044955,0.955044955,1,0.001998002,0.061938062,0.061938062,0.001998002,0.001998002,0.041958042,0.041958042,0.001998002,0.990960656,0.009039344,0,0.993257856,0.006742144,0,0.990960656,0,0.009039344
Chamaea fasciata,-2155911.336,407158.5324,-2166246.058,391175.541,19033.19459,-15982.99144,-10334.72211,-162.0259525,22,20,0.870348732,0.994005994,0.913086913,0.913086913,1,1,0.929070929,0.929070929,1,0.004995005,0.085914086,0.085914086,0.000999001,0.001998002,0.062937063,0.062937063,0.001998002,0.933168176,0.066831824,0.013486755,0.933168176,0.066831824,0.013486755,0.921413277,0.012596764,0.065989959
Chondestes grammacus,-493526.4685,112165.2639,-423073.8535,168966.541,90498.37585,56801.27711,70452.61493,48.22505684,119,131,0.91795391,1,0.71028971,0.71028971,1,1,0.709290709,0.709290709,1,0.003996004,0.278721279,0.278721279,0.000999001,0.000999001,0.314685315,0.314685315,0.000999001,0.982789212,0.017210788,0.019403248,0.982789212,0.017210788,0.018319021,0.964041846,0.019075673,0.016882481
Chordeiles minor,-125348.0116,161092.6444,-441233.7811,210051.3984,319657.2836,48958.75408,-315885.7695,-82.14713888,155,121,0.875218545,1,0.834165834,0.834165834,1,1,0.98001998,0.98001998,1,0.000999001,0.170829171,0.170829171,0.000999001,0.000999001,0.015984016,0.015984016,0.000999001,0.988330855,0.011669145,0.034441282,0.996982806,0.003017194,0.027143986,0.954675158,0.034053068,0.011271774
Circus hudsonius,-186332.4418,748094.743,-298691.9604,792565.8063,120840.1294,44471.06332,-112359.5185,-69.85235448,90,79,0.857877326,0.999000999,0.955044955,0.955044955,1,0.996003996,0.943056943,0.943056943,1,0.003996004,0.057942058,0.057942058,0.000999001,0.002997003,0.062937063,0.062937063,0.000999001,0.999285811,0.000714189,0.050085205,0.999285811,0.000714189,0.033859885,0.949270332,0.050051225,0.000678443
Cistothorus palustris,63086.46336,771449.3452,2204.845676,819680.8627,77671.42751,48231.51749,-60881.61768,-51.22333882,50,55,0.751824489,0.999000999,0.843156843,0.843156843,1,0.999000999,0.839160839,0.839160839,1,0.001998002,0.171828172,0.171828172,0.001998002,0.000999001,0.183816184,0.183816184,0.000999001,0.997095975,0.002904025,0.063273862,0.997095975,0.002904025,0.031855722,0.934177516,0.063101708,0.002720776
Coccyzus americanus,816868.839,160811.5715,797199.7291,140430.6864,28324.09507,-20380.88507,-19669.10992,-129.7528173,361,339,0.923339873,1,1,1,1,1,1,1,1,0.002997003,0.104895105,0.104895105,0.002997003,0.001998002,0.118881119,0.118881119,0.000999001,1,0,0.017542841,1,0,0.016504294,0.982457159,0.017542841,0
Coccyzus erythropthalmus,847261.4111,636268.746,891411.2761,684529.1669,65408.55294,48260.42084,44149.86498,49.03868999,205,93,0.810619691,0.998001998,0.998001998,0.998001998,1,0.995004995,1,1,1,0.002997003,0.001998002,0.001998002,0.001998002,0.003996004,0.000999001,0.000999001,0.000999001,0.999644151,0.000355849,0.036822883,1,0,0.036789639,0.962846988,0.036810262,0.00034275
Colaptes auratus auratus,893851.7681,365694.8935,915760.1391,422218.5516,60620.95879,56523.65811,21908.37096,27.99839478,406,365,0.866250347,1,1,1,1,1,1,1,1,0.000999001,0.023976024,0.023976024,0.000999001,0.000999001,0.026973027,0.026973027,0.000999001,1,0,0.023992378,1,0,0.023992378,0.976007622,0.023992378,0
Colaptes auratus cafer,-1662642.173,662315.2472,-1696738.569,666733.5969,34381.47883,4418.349782,-34096.39676,-94.77763737,68,62,0.93450374,1,0.982017982,0.982017982,1,1,1,1,1,0.001998002,0.026973027,0.026973027,0.001998002,0.000999001,0.018981019,0.018981019,0.000999001,0.999763453,0.000236547,0.03715994,1,0,0.034686862,0.962620765,0.037151476,0.000227759
Colinus virginianus,691522.4955,34964.26147,569173.2834,-63443.60725,157014.1342,-98407.86872,-122349.2121,-123.524468,287,209,0.895414468,1,0.92007992,0.92007992,0.996003996,1,0.92007992,0.92007992,0.995004995,0.002997003,0.066933067,0.066933067,0.003996004,0.001998002,0.073926074,0.073926074,0.002997003,0.998162015,0.001837985,0.042226059,0.998162015,0.001837985,0.042226059,0.95608777,0.04215172,0.001760511
Contopus cooperi,-909333.2745,765870.6141,-1452358.299,797685.0982,543956.1918,31814.48408,-543025.0244,-93.16230827,50,29,0.762351352,1,0.984015984,0.984015984,1,0.999000999,0.999000999,0.999000999,1,0.000999001,0.015984016,0.015984016,0.000999001,0.001998002,0.002997003,0.002997003,0.000999001,0.983161893,0.016838107,0.17881685,0.999456647,0.000543353,0.17881685,0.809794219,0.176336852,0.013868928
Contopus sordidulus,-1707845.19,660070.5703,-1754449.377,656602.5151,46733.04736,-3468.055243,-46604.18767,-106.5651816,57,57,0.920012929,1,0.977022977,0.977022977,1,1,0.98001998,0.98001998,1,0.000999001,0.020979021,0.020979021,0.000999001,0.000999001,0.021978022,0.021978022,0.000999001,0.987472252,0.012527748,0.034256436,0.988285836,0.011714164,0.034256436,0.954054411,0.033841803,0.012103786
Contopus virens,951420.3234,319410.9485,922260.4908,328690.8377,30600.85262,9279.889197,-29159.8326,-65.95113838,372,382,0.957097103,1,0.969030969,0.969030969,1,1,0.959040959,0.959040959,1,0.001998002,0.03996004,0.03996004,0.001998002,0.000999001,0.043956044,0.043956044,0.000999001,0.995131169,0.004868831,0.002545943,0.995131169,0.004868831,0.002545943,0.992609926,0.002533579,0.004856495
