"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_cells_hist","n_cells_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Acrocephalus arundinaceus",4671018.79508425,2843627.30056344,4697707.51075206,2888997.04498605,52637.4510493276,45369.7444226132,26688.7156678084,34.1092443200519,1245,1312,0.948555691006952,1,0.586413586413586,0.586413586413586,1,1,0.57042957042957,0.57042957042957,1,0.000999000999000999,0.417582417582418,0.417582417582418,0.000999000999000999,0.000999000999000999,0.393606393606394,0.393606393606394,0.000999000999000999,0.995597550716839,0.00440244928316127,0,0.995597550716839,0.00440244928316127,0,0.995597550716839,0,0.00440244928316127
"Acrocephalus paludicola",5120702.49744516,3360271.02552902,5189333.72861469,3370440.54505934,69380.5809958613,10169.5195303243,68631.2311695311,90.9808071827909,54,41,0.643319359986142,0.995004995004995,0.995004995004995,0.995004995004995,0.997002997002997,0.997002997002997,0.992007992007992,0.992007992007992,0.997002997002997,0.002997002997003,0.00799200799200799,0.00799200799200799,0.000999000999000999,0.003996003996004,0.010989010989011,0.010989010989011,0.001998001998002,0.989892409286523,0.0101075907134773,0.252792239882684,0.989892409286523,0.0101075907134773,0.252792239882684,0.741550039605327,0.250878143272349,0.00757181712232327
"Acrocephalus palustris",4841587.39217933,3238676.86486093,4829802.29826954,3273255.28073021,36531.5655631081,34578.4158692816,-11785.0939097945,-12.8497803912633,1152,1226,0.953254960064214,1,0.948051948051948,0.948051948051948,1,1,0.947052947052947,0.947052947052947,1,0.002997002997003,0.0579420579420579,0.0579420579420579,0.002997002997003,0.000999000999000999,0.051948051948052,0.051948051948052,0.000999000999000999,0.997917747286454,0.00208225271354595,0.00235145450251403,0.997917747286454,0.00208225271354595,0.00235145450251403,0.995576063767959,0.00234656966955731,0.00207736656248399
"Acrocephalus schoenobaenus",4676976.34137048,3475153.70618324,4683155.07502566,3509138.14356507,34541.5508299984,33984.4373818319,6178.73365518451,14.7158157470186,1454,1401,0.951629309194517,1,1,1,1,1,1,1,1,0.001998001998002,0.195804195804196,0.195804195804196,0.001998001998002,0.000999000999000999,0.1998001998002,0.1998001998002,0.000999000999000999,1,0,0.0243849842310305,1,0,0.0243849842310305,0.975615015768969,0.0243849842310305,0
"Acrocephalus scirpaceus",4517394.59600482,3003413.66575382,4529682.29250138,2996121.41030983,14288.6134614931,-7292.25544399023,12287.6964965593,122.825016253621,1453,1623,0.93151611575773,1,0.706293706293706,0.706293706293706,1,1,0.694305694305694,0.694305694305694,1,0.000999000999000999,0.304695304695305,0.304695304695305,0.000999000999000999,0.000999000999000999,0.307692307692308,0.307692307692308,0.000999000999000999,0.996528371859175,0.00347162814082478,0,0.996528371859175,0.00347162814082478,0,0.996528371859175,0,0.00347162814082478
"Aegithalos caudatus",4450945.24617591,3033253.96228874,4479594.45122684,3048044.46350039,32241.8342552333,14790.5012116488,28649.2050509285,64.122928184783,1777,1840,0.959145353911089,1,0.888111888111888,0.888111888111888,1,1,0.879120879120879,0.879120879120879,1,0.001998001998002,0.114885114885115,0.114885114885115,0.001998001998002,0.000999000999000999,0.120879120879121,0.120879120879121,0.000999000999000999,0.996417608716774,0.00358239128322546,0.000434786616093369,0.996417608716774,0.00358239128322546,0.000434786616093369,0.995985931000032,0.000433229715097926,0.00358083928487046
"Alectoris graeca",4768832.57913025,2214608.37433272,4748365.7637602,2260965.88139885,50674.5398871879,46357.5070661348,-20466.8153700437,-19.7912966682023,179,144,0.82797421468621,1,1,1,1,1,1,1,1,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.003996003996004,0.003996003996004,0.000999000999000999,1,0,0.0659866612676557,1,0,0.0659866612676557,0.934013338732344,0.0659866612676557,0
"Alectoris rufa",3480040.77632534,2494095.82028745,3526608.20060324,2516654.32122813,51743.7046274106,22558.5009406838,46567.4242778993,56.0479177654274,463,519,0.909687194652631,1,0.914085914085914,0.914085914085914,1,1,0.909090909090909,0.909090909090909,1,0.001998001998002,0.0819180819180819,0.0819180819180819,0.001998001998002,0.000999000999000999,0.0929070929070929,0.0929070929070929,0.000999000999000999,0.96760671641237,0.0323932835876299,0,0.96760671641237,0.0323932835876299,0,0.96760671641237,0,0.0323932835876299
"Anser brachyrhynchus",3589616.56189916,5341742.00040841,3583558.13729662,5286874.60504331,55200.8657795815,-54867.395365105,-6058.42460253695,168.339876536947,26,33,0.939757310350856,1,0.986013986013986,0.986013986013986,1,1,0.994005994005994,0.994005994005994,1,0.000999000999000999,0.011988011988012,0.011988011988012,0.000999000999000999,0.001998001998002,0.015984015984016,0.015984015984016,0.001998001998002,0.960677278790756,0.039322721209244,0.0105763332755783,0.960677278790756,0.039322721209244,0.0105763332755783,0.950912310835701,0.0101646704576452,0.0389230187066541
"Anthus campestris",4609199.49237946,2654635.381099,4608211.60163952,2609400.94692603,45245.2203338915,-45234.4341729651,-987.890739948489,-175.937520345725,852,778,0.896212716958756,1,0.813186813186813,0.813186813186813,1,1,0.828171828171828,0.828171828171828,1,0.001998001998002,0.171828171828172,0.171828171828172,0.001998001998002,0.001998001998002,0.156843156843157,0.156843156843157,0.001998001998002,0.996037036801719,0.00396296319828132,0.00393884241628902,0.996037036801719,0.00396296319828132,0.00393884241628902,0.992129290502767,0.00392329416936088,0.00394741532787211
"Anthus petrosus",4005103.09348872,3907572.63443071,4014176.2184202,3928397.80676846,22715.8402644297,20825.1723377472,9073.12493147841,19.025527028003,234,225,0.946577511386346,1,1,1,1,1,1,1,1,0.001998001998002,0.0979020979020979,0.0979020979020979,0.001998001998002,0.000999000999000999,0.0989010989010989,0.0989010989010989,0.000999000999000999,1,0,0.031720851673368,1,0,0.031720851673368,0.968279148326632,0.031720851673368,0
"Anthus pratensis",4498815.4558578,3675137.54898498,4471407.86799206,3678556.18490816,27619.9736457697,3418.63592317328,-27407.5878657317,-80.5895191065475,1381,1360,0.977803184957507,1,0.93006993006993,0.93006993006993,1,1,0.938061938061938,0.938061938061938,1,0.001998001998002,0.0829170829170829,0.0829170829170829,0.001998001998002,0.001998001998002,0.0689310689310689,0.0689310689310689,0.001998001998002,0.999913550141123,8.64498588768287e-05,0.0027861408055737,0.999913550141123,8.64498588768287e-05,0.0027861408055737,0.997127890366728,0.0027859006151104,8.62090181618075e-05
"Anthus trivialis",4599687.79801843,3330528.47755623,4589514.19095873,3320691.13643379,14151.8748215365,-9837.34112243727,-10173.6070597032,-130.737105452035,1751,1740,0.974239290516049,1,0.914085914085914,0.914085914085914,1,1,0.912087912087912,0.912087912087912,1,0.000999000999000999,0.106893106893107,0.106893106893107,0.000999000999000999,0.000999000999000999,0.0719280719280719,0.0719280719280719,0.000999000999000999,0.99924910809185,0.000750891908150103,0.00390008195248617,0.99924910809185,0.000750891908150103,0.00390008195248617,0.995354869615872,0.00389716482550993,0.0007479655586179
"Apus apus",4502958.45742775,3115065.01635337,4516066.85404138,3105477.03341602,16240.673587858,-9587.98293735506,13108.3966136342,128.211638682683,1968,1970,0.989335380412261,1,1,1,1,1,1,1,1,0.000999000999000999,0.0889110889110889,0.0889110889110889,0.000999000999000999,0.001998001998002,0.104895104895105,0.104895104895105,0.001998001998002,1,0,0.000323569531879482,1,0,0.000323569531879482,0.99967643046812,0.000323569531879482,0
"Apus pallidus",4132172.50030851,1974700.49051651,4095683.76094389,2048435.87322314,82269.8897733065,73735.3827066266,-36488.7393646222,-27.7300866422583,166,285,0.883070038632873,1,0.946053946053946,0.946053946053946,1,1,0.933066933066933,0.933066933066933,1,0.001998001998002,0.0729270729270729,0.0729270729270729,0.001998001998002,0.000999000999000999,0.0619380619380619,0.0619380619380619,0.000999000999000999,0.966345845111407,0.0336541548885935,0.00310378410805576,0.966345845111407,0.0336541548885935,0.00310378410805576,0.96344715332953,0.0029996422052623,0.0335532044652073
"Aquila adalberti",2956344.88128768,1915488.84947656,3021949.40253361,1929762.51275538,67139.3377335944,14273.6632788137,65604.5212459378,65.8682243694668,30,42,0.703122691022264,0.998001998001998,0.993006993006993,0.993006993006993,0.994005994005994,0.998001998001998,0.994005994005994,0.994005994005994,0.998001998001998,0.002997002997003,0.004995004995005,0.004995004995005,0.003996003996004,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.80429455357418,0.19570544642582,0.0328129398091554,0.80429455357418,0.19570544642582,0.0328129398091554,0.782931010188585,0.0265618401749193,0.190507149636496
"Aquila chrysaetos",4425846.28857444,3164574.56524839,4417767.80434123,3270321.16260238,106054.72530469,105746.597353991,-8078.48423321359,-3.17717215653178,695,812,0.924375846530507,1,1,1,1,1,1,1,1,0.000999000999000999,0.462537462537463,0.462537462537463,0.000999000999000999,0.000999000999000999,0.462537462537463,0.462537462537463,0.000999000999000999,1,0,0.0190756749048974,1,0,0.0190756749048974,0.980924325095103,0.0190756749048974,0
"Branta leucopsis",4381394.26386287,4417172.05358506,4421728.22059959,3953124.53728335,465797.086134967,-464047.51630171,40333.956736722,176.061366834552,41,281,0.705995341546477,1,0.88011988011988,0.88011988011988,1,1,0.897102897102897,0.897102897102897,1,0.000999000999000999,0.127872127872128,0.127872127872128,0.000999000999000999,0.000999000999000999,0.103896103896104,0.103896103896104,0.000999000999000999,0.970918181171083,0.029081818828917,0.0310686732360884,0.970918181171083,0.029081818828917,0.0310686732360884,0.941603812074008,0.0301924195731063,0.0282037683528853
"Buteo buteo",4527269.87824686,3050396.24331133,4509565.24389556,3041030.13113651,20029.4317139684,-9366.11217482062,-17704.6343512991,-115.606761117196,1895,1936,0.976656243206731,1,0.913086913086913,0.913086913086913,1,1,0.915084915084915,0.915084915084915,1,0.003996003996004,0.0949050949050949,0.0949050949050949,0.003996003996004,0.000999000999000999,0.0829170829170829,0.0829170829170829,0.000999000999000999,0.999978639038679,2.13609613204847e-05,0.00011235163371489,0.999978639038679,2.13609613204847e-05,0.00011235163371489,0.999866292204522,0.00011234923404562,2.13585614328419e-05
"Caprimulgus ruficollis",3108632.12539844,1959143.6892079,3131781.09949623,1949247.64693781,25175.5169637422,-9896.04227009951,23148.9740977883,102.590416214338,102,110,0.917385056248272,1,0.999000999000999,0.999000999000999,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.990679354287809,0.00932064571219149,0.0213162610192364,0.990679354287809,0.00932064571219149,0.0213162610192364,0.969754446675946,0.0211217762046785,0.00912377711937549
"Carduelis carduelis",4480765.99505855,2891019.60559263,4484597.60946429,2970986.11469039,80058.2528302789,79966.5090977629,3831.61440573819,4.42056918298006,1765,1873,0.947982214754089,1,0.49050949050949,0.49050949050949,1,1,0.511488511488511,0.511488511488511,1,0.000999000999000999,0.493506493506494,0.493506493506494,0.000999000999000999,0.001998001998002,0.491508491508492,0.491508491508492,0.001998001998002,0.99564379857247,0.00435620142752971,0,0.99564379857247,0.00435620142752971,0,0.99564379857247,0,0.00435620142752971
"Carduelis citrinella",3841630.95928123,2421286.0277433,3827298.12849041,2397544.01579138,27732.8896800067,-23742.0119519187,-14332.8307908233,-153.397264947073,140,138,0.913344343243439,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.960162463772471,0.0398375362275287,0.000662959088697083,0.960162463772471,0.0398375362275287,0.000662959088697083,0.959551257719354,0.000636565244089881,0.039812177036556
"Certhia brachydactyla",4249870.37020888,2627404.2184293,4264973.97994245,2627837.79258633,15109.8316844899,433.574157027528,15103.6097335694,87.6377496268481,1087,1126,0.96869854059803,1,0.969030969030969,0.969030969030969,1,1,0.969030969030969,0.969030969030969,1,0.000999000999000999,0.046953046953047,0.046953046953047,0.000999000999000999,0.001998001998002,0.036963036963037,0.036963036963037,0.001998001998002,0.996305859106793,0.00369414089320688,0.000348480854114033,0.996305859106793,0.00369414089320688,0.000348480854114033,0.995959947726516,0.000347193963696116,0.00369285830978772
"Cettia cetti",3950033.02305914,2266205.71053641,3957174.47296573,2341040.93905052,75175.2069071108,74835.228514106,7141.44990659785,2.1500425514455,598,671,0.92643690753126,1,0.944055944055944,0.944055944055944,1,1,0.944055944055944,0.944055944055944,1,0.001998001998002,0.0639360639360639,0.0639360639360639,0.001998001998002,0.000999000999000999,0.0549450549450549,0.0549450549450549,0.000999000999000999,0.993063238750214,0.00693676124978625,0.0034106660714283,0.993063238750214,0.00693676124978625,0.0034106660714283,0.989699646935458,0.00338708723020436,0.00691326583433813
"Charadrius hiaticula",4305876.4483712,4078374.30091629,4335366.4120044,4075739.45137113,29607.4380386668,-2634.84954516264,29489.9636332067,94.8988017825073,626,637,0.956874675363152,1,0.91008991008991,0.91008991008991,1,1,0.91008991008991,0.91008991008991,1,0.001998001998002,0.11988011988012,0.11988011988012,0.001998001998002,0.001998001998002,0.0899100899100899,0.0899100899100899,0.001998001998002,0.999950229451821,4.97705481791345e-05,0.00444724299905424,0.999950229451821,4.97705481791345e-05,0.00444724299905424,0.995503428140932,0.00444702264164394,4.95492174244949e-05
"Ciconia ciconia",4814503.31565627,2918622.68800251,4692989.64609168,2863154.66649233,133574.972585833,-55468.0215101726,-121513.669564593,-109.282770971746,919,1109,0.89781576697826,0.999000999000999,0.914085914085914,0.914085914085914,1,0.999000999000999,0.92007992007992,0.92007992007992,1,0.002997002997003,0.0919080919080919,0.0919080919080919,0.000999000999000999,0.000999000999000999,0.0859140859140859,0.0859140859140859,0.000999000999000999,0.996977953956749,0.00302204604325094,0.000200680117359849,0.996977953956749,0.00302204604325094,0.000200680117359849,0.996778484814764,0.000200073774142875,0.00302144141109343
"Cinclus cinclus",4272710.50632323,3136730.83829723,4297583.14373574,3196247.77736264,64505.148070294,59516.9390654131,24872.6374125155,22.1375378641257,1035,1018,0.930440151029013,1,0.94005994005994,0.94005994005994,1,1,0.953046953046953,0.953046953046953,1,0.000999000999000999,0.04995004995005,0.04995004995005,0.000999000999000999,0.000999000999000999,0.0539460539460539,0.0539460539460539,0.000999000999000999,0.999394586517715,0.000605413482285349,0.0139811193863201,0.999394586517715,0.000605413482285349,0.0139811193863201,0.985430272524351,0.0139727732987041,0.000596954176945397
"Circus aeruginosus",4692541.39256858,3099896.39820765,4631420.31952418,3149179.28036544,78514.8905869261,49282.882157784,-61121.0730444007,-47.0061995796475,1179,1421,0.911507120506707,1,0.835164835164835,0.835164835164835,1,1,0.85014985014985,0.85014985014985,1,0.000999000999000999,0.177822177822178,0.177822177822178,0.000999000999000999,0.000999000999000999,0.16983016983017,0.16983016983017,0.000999000999000999,0.986386339674242,0.0136136603257581,0.000292158402137131,0.986386339674242,0.0136136603257581,0.000292158402137131,0.986102080685778,0.000288182203089236,0.0136097371111333
"Circus pygargus",4344040.40784027,2833281.59346052,4490064.70585558,2934574.10959932,177716.823729753,101292.516138797,146024.298015309,55.5013939996478,816,927,0.894883544988826,1,0.922077922077922,0.922077922077922,1,1,0.916083916083916,0.916083916083916,1,0.000999000999000999,0.0789210789210789,0.0789210789210789,0.000999000999000999,0.000999000999000999,0.0919080919080919,0.0919080919080919,0.000999000999000999,0.993129382332694,0.00687061766730614,0.00040762460287965,0.993129382332694,0.00687061766730614,0.00040762460287965,0.992727338627356,0.00040482510384794,0.00686783626879547
"Coccothraustes coccothraustes",4582519.86205661,2981959.17040836,4585430.14474711,3060664.97622557,78759.5937945023,78705.8058172101,2910.28269049805,4.93380674819795,1398,1586,0.923905266858494,1,0.864135864135864,0.864135864135864,1,1,0.848151848151848,0.848151848151848,1,0.001998001998002,0.163836163836164,0.163836163836164,0.001998001998002,0.001998001998002,0.153846153846154,0.153846153846154,0.001998001998002,0.993074431029751,0.00692556897024936,0.000189935921538728,0.993074431029751,0.00692556897024936,0.000189935921538728,0.992887116580472,0.000188620755328627,0.00692426266419911
"Columba oenas",4428725.75911025,3119239.641081,4495933.01356992,3171924.66317502,85396.2915181611,52685.0220940206,67207.2544596735,53.118683178479,1354,1377,0.932303931091816,1,0.934065934065934,0.934065934065934,1,1,0.949050949050949,0.949050949050949,1,0.001998001998002,0.0609390609390609,0.0609390609390609,0.001998001998002,0.001998001998002,0.0699300699300699,0.0699300699300699,0.001998001998002,0.994026593858259,0.00597340614174106,0.00272987311969249,0.994026593858259,0.00597340614174106,0.00272987311969249,0.991329192628543,0.00271361072870873,0.00595719664274789
"Columba palumbus",4475848.08161386,3147931.3238715,4478977.13276806,3159703.99472915,12181.4096166284,11772.6708576488,3129.05115419254,16.6305626470832,1990,2029,0.982115060803527,1,0.302697302697303,0.302697302697303,1,1,0.318681318681319,0.318681318681319,1,0.001998001998002,0.708291708291708,0.708291708291708,0.001998001998002,0.000999000999000999,0.696303696303696,0.696303696303696,0.000999000999000999,0.999228446732364,0.000771553267636247,1.30912327892325e-05,0.999228446732364,0.000771553267636247,1.30912327892325e-05,0.999215375692816,1.30811323379236e-05,0.000771543174845847
"Coracias garrulus",4775090.37277098,2679012.98918653,4743127.53028233,2386670.32052629,294084.782366151,-292342.668660242,-31962.8424886512,-169.37321132024,522,347,0.749938410901293,1,0.96003996003996,0.96003996003996,1,1,0.952047952047952,0.952047952047952,1,0.000999000999000999,0.0589410589410589,0.0589410589410589,0.000999000999000999,0.000999000999000999,0.045954045954046,0.045954045954046,0.000999000999000999,0.993441044434429,0.0065589555655707,0.0712420878821505,0.993441044434429,0.0065589555655707,0.0712420878821505,0.92309756944751,0.0708079008623664,0.0060945296901231
"Crex crex",4818400.89120769,3335718.19515606,4852911.77416048,3392598.33154072,66530.8271203522,56880.1363846557,34510.8829527898,37.1713925242834,1086,1201,0.909919700968493,1,0.983016983016983,0.983016983016983,1,1,0.983016983016983,0.983016983016983,1,0.000999000999000999,0.028971028971029,0.028971028971029,0.000999000999000999,0.000999000999000999,0.018981018981019,0.018981018981019,0.000999000999000999,0.994565769369654,0.00543423063034619,0.00797450731808399,0.994565769369654,0.00543423063034619,0.00797450731808399,0.986677355334467,0.00793151572086198,0.00539112894467081
"Cyanistes caeruleus",4503205.49985352,3079160.33258149,4508178.52282179,3137009.26736448,58062.2959670873,57848.9347829903,4973.02296827361,6.93009720052742,1965,2041,0.963510971956767,1,0.463536463536464,0.463536463536464,1,1,0.473526473526474,0.473526473526474,1,0.001998001998002,0.546453546453546,0.546453546453546,0.001998001998002,0.000999000999000999,0.532467532467532,0.532467532467532,0.000999000999000999,0.997979284993926,0.00202071500607432,0.000372119889117253,0.997979284993926,0.00202071500607432,0.000372119889117253,0.997608667203138,0.000371368220122936,0.00201996457673914
"Cygnus olor",4518423.19747312,3271096.49480804,4559322.72998809,3187966.1538277,92646.7773398046,-83130.3409803421,40899.5325149735,156.08848317558,1039,1413,0.848589969791219,0.999000999000999,0.884115884115884,0.884115884115884,1,0.999000999000999,0.887112887112887,0.887112887112887,1,0.002997002997003,0.127872127872128,0.127872127872128,0.000999000999000999,0.001998001998002,0.104895104895105,0.104895104895105,0.000999000999000999,0.957294888790909,0.0427051112090914,0,0.957294888790909,0.0427051112090914,0,0.957294888790909,0,0.0427051112090914
"Dendrocopos major",4534935.23381377,3158503.64963503,4509659.1498786,3149489.97889175,26835.1761567907,-9013.67074328475,-25276.0839351676,-107.2054095332,1900,1943,0.976137626488005,1,0.959040959040959,0.959040959040959,1,1,0.956043956043956,0.956043956043956,1,0.000999000999000999,0.043956043956044,0.043956043956044,0.000999000999000999,0.001998001998002,0.042957042957043,0.042957042957043,0.001998001998002,0.997972899023206,0.00202710097679401,0,0.997972899023206,0.00202710097679401,0,0.997972899023206,0,0.00202710097679401
